YEAR,MONTH,state,famnumber,numbermarried_hh,WTFINL,AGE,RACE,EDUC,ageatbirth,ageatmarr,marhist,AGE_MOM,AGE_POP,RACE_MOM,RACE_POP,EDUC_MOM,EDUC_POP,age_inyrs_atbirth,age_inyrs_atmarr
1980,6,Mississippi,NA,NA,936.2,23,white,NA,204,198,4,NA,NA,NA,NA,NA,NA,17,16.5
1980,6,Wisconsin,NA,NA,2392.09,23,white,NA,220,216,4,NA,NA,NA,NA,NA,NA,18.333333333333332,18
1980,6,Illinois,NA,NA,2029.06,19,white,NA,194,196,4,NA,NA,NA,NA,NA,NA,16.166666666666668,16.333333333333332
1980,6,Florida,NA,NA,2914.26,70,white,NA,228,200,3,NA,NA,NA,NA,NA,NA,19,16.666666666666668
1980,6,New Hampshire,NA,NA,278.64,52,white,NA,239,233,2,NA,NA,NA,NA,NA,NA,19.916666666666668,19.416666666666668
1980,6,Michigan,NA,NA,1777.6,21,white,NA,232,225,2,NA,NA,NA,NA,NA,NA,19.333333333333332,18.75
1980,6,Kentucky,NA,NA,918.4,44,white,NA,219,199,2,NA,NA,NA,NA,NA,NA,18.25,16.583333333333332
1980,6,Michigan,NA,NA,1401.3,64,white,NA,199,190,8,NA,NA,NA,NA,NA,NA,16.583333333333332,15.833333333333334
1980,6,West Virginia,NA,NA,637.29,43,white,NA,230,217,2,NA,NA,NA,NA,NA,NA,19.166666666666668,18.083333333333332
1980,6,Indiana,NA,NA,1332.2,43,white,NA,228,228,2,NA,NA,NA,NA,NA,NA,19,19
1980,6,Texas,NA,NA,1493.56,18,white,NA,205,216,5,NA,NA,NA,NA,NA,NA,17.083333333333332,18
1980,6,New York,NA,NA,1761.63,19,white,NA,222,230,2,NA,NA,NA,NA,NA,NA,18.5,19.166666666666668
1980,6,Michigan,NA,NA,1721.22,45,white,NA,237,222,22,NA,NA,NA,NA,NA,NA,19.75,18.5
1980,6,North Carolina,NA,NA,2273.68,20,white,NA,222,216,2,NA,NA,NA,NA,NA,NA,18.5,18
1980,6,Kentucky,NA,NA,1492.93,18,white,NA,207,194,5,NA,NA,NA,NA,NA,NA,17.25,16.166666666666668
1980,6,Hawaii,NA,NA,396.21,59,other,NA,206,205,2,NA,NA,NA,NA,NA,NA,17.166666666666668,17.083333333333332
1980,6,New Jersey,NA,NA,1410.08,19,black,NA,183,9999,1,43,NA,200,NA,60,NA,15.25,833.25
1980,6,Pennsylvania,NA,NA,1909.71,19,white,NA,212,192,2,NA,NA,NA,NA,NA,NA,17.666666666666668,16
1980,6,Alaska,NA,NA,205.98,57,black,NA,199,173,6,NA,NA,NA,NA,NA,NA,16.583333333333332,14.416666666666666
1980,6,Ohio,NA,NA,2192.35,21,black,NA,202,9999,1,51,62,200,200,72,60,16.833333333333332,833.25
1980,6,Kentucky,NA,NA,971.68,34,white,NA,206,193,4,NA,NA,NA,NA,NA,NA,17.166666666666668,16.083333333333332
1980,6,Illinois,NA,NA,1825.11,25,white,NA,205,198,2,NA,NA,NA,NA,NA,NA,17.083333333333332,16.5
1980,6,North Carolina,NA,NA,1612.62,51,white,NA,216,207,2,NA,NA,NA,NA,NA,NA,18,17.25
1980,6,Colorado,NA,NA,1226.89,30,white,NA,233,228,2,NA,NA,NA,NA,NA,NA,19.416666666666668,19
1980,6,Florida,NA,NA,1550.34,31,black,NA,208,204,4,NA,NA,NA,NA,NA,NA,17.333333333333332,17
1980,6,North Dakota,NA,NA,215.49,45,white,NA,204,242,2,NA,NA,NA,NA,NA,NA,17,20.166666666666668
1980,6,Minnesota,NA,NA,1409.25,26,white,NA,234,250,2,NA,NA,NA,NA,NA,NA,19.5,20.833333333333332
1980,6,Kansas,NA,NA,938.41,18,white,NA,213,207,2,NA,NA,NA,NA,NA,NA,17.75,17.25
1980,6,California,NA,NA,1419.65,72,black,NA,222,219,4,NA,NA,NA,NA,NA,NA,18.5,18.25
1980,6,California,NA,NA,1690.35,48,white,NA,196,208,4,NA,NA,NA,NA,NA,NA,16.333333333333332,17.333333333333332
1980,6,California,NA,NA,1698.89,19,white,NA,222,209,2,NA,NA,NA,NA,NA,NA,18.5,17.416666666666668
1980,6,Alaska,NA,NA,180.67,50,white,NA,214,194,2,NA,NA,NA,NA,NA,NA,17.833333333333332,16.166666666666668
1980,6,Ohio,NA,NA,1719.89,53,white,NA,215,185,10,NA,NA,NA,NA,NA,NA,17.916666666666668,15.416666666666666
1980,6,Florida,NA,NA,2008.53,53,white,NA,229,218,11,NA,NA,NA,NA,NA,NA,19.083333333333332,18.166666666666668
1980,6,New Hampshire,NA,NA,404.74,46,white,NA,239,232,2,NA,NA,NA,NA,NA,NA,19.916666666666668,19.333333333333332
1980,6,Indiana,NA,NA,2248.03,22,white,NA,235,232,2,NA,NA,NA,NA,NA,NA,19.583333333333332,19.333333333333332
1980,6,Illinois,NA,NA,1848.95,50,white,NA,212,205,26,NA,NA,NA,NA,NA,NA,17.666666666666668,17.083333333333332
1980,6,California,NA,NA,1369.12,69,white,NA,205,189,10,NA,NA,NA,NA,NA,NA,17.083333333333332,15.75
1980,6,West Virginia,NA,NA,633.22,36,white,NA,213,205,2,NA,NA,NA,NA,NA,NA,17.75,17.083333333333332
1980,6,Oregon,NA,NA,312.25,34,white,NA,212,205,4,NA,NA,NA,NA,NA,NA,17.666666666666668,17.083333333333332
1980,6,Oklahoma,NA,NA,696.7,46,other,NA,201,254,13,NA,NA,NA,NA,NA,NA,16.75,21.166666666666668
1980,6,Illinois,NA,NA,1727.82,34,black,NA,225,184,10,NA,NA,NA,NA,NA,NA,18.75,15.333333333333334
1980,6,Ohio,NA,NA,1682.68,50,white,NA,231,223,2,NA,NA,NA,NA,NA,NA,19.25,18.583333333333332
1980,6,California,NA,NA,1779.58,34,white,NA,220,206,2,NA,NA,NA,NA,NA,NA,18.333333333333332,17.166666666666668
1980,6,Montana,NA,NA,260.35,71,white,NA,232,211,2,NA,NA,NA,NA,NA,NA,19.333333333333332,17.583333333333332
1980,6,Illinois,NA,NA,2057.55,43,white,NA,231,217,2,NA,NA,NA,NA,NA,NA,19.25,18.083333333333332
1980,6,New York,NA,NA,1572.59,29,white,NA,237,237,2,NA,NA,NA,NA,NA,NA,19.75,19.75
1980,6,Vermont,NA,NA,289.55,70,white,NA,210,199,3,NA,NA,NA,NA,NA,NA,17.5,16.583333333333332
1980,6,South Carolina,NA,NA,1628.86,43,black,NA,196,181,5,NA,NA,NA,NA,NA,NA,16.333333333333332,15.083333333333334
1980,6,Missouri,NA,NA,1327.66,75,white,NA,231,221,3,NA,NA,NA,NA,NA,NA,19.25,18.416666666666668
1980,6,Mississippi,NA,NA,630.58,21,white,NA,210,206,5,NA,NA,NA,NA,NA,NA,17.5,17.166666666666668
1980,6,Idaho,NA,NA,313.93,54,white,NA,215,199,10,NA,NA,NA,NA,NA,NA,17.916666666666668,16.583333333333332
1980,6,Texas,NA,NA,1664.4,53,white,NA,196,177,2,NA,NA,NA,NA,NA,NA,16.333333333333332,14.75
1980,6,California,NA,NA,1679.05,69,white,NA,219,207,2,NA,NA,NA,NA,NA,NA,18.25,17.25
1980,6,North Carolina,NA,NA,1875.45,34,white,NA,217,201,4,NA,NA,NA,NA,NA,NA,18.083333333333332,16.75
1980,6,Alabama,NA,NA,1673.83,22,black,NA,208,206,2,NA,NA,NA,NA,NA,NA,17.333333333333332,17.166666666666668
1980,6,North Carolina,NA,NA,2027.15,35,black,NA,193,188,10,NA,NA,NA,NA,NA,NA,16.083333333333332,15.666666666666666
1980,6,Kentucky,NA,NA,1627.69,28,white,NA,203,184,10,NA,NA,NA,NA,NA,NA,16.916666666666668,15.333333333333334
1980,6,Mississippi,NA,NA,907.12,28,black,NA,227,251,2,NA,NA,NA,NA,NA,NA,18.916666666666668,20.916666666666668
1980,6,New Hampshire,NA,NA,397.4,35,white,NA,226,217,2,NA,NA,NA,NA,NA,NA,18.833333333333332,18.083333333333332
1980,6,California,NA,NA,1657.15,51,white,NA,205,191,2,NA,NA,NA,NA,NA,NA,17.083333333333332,15.916666666666666
1980,6,District of Columbia,NA,NA,338.85,23,black,NA,232,9999,1,NA,NA,NA,NA,NA,NA,19.333333333333332,833.25
1980,6,Utah,NA,NA,370.94,46,white,NA,228,223,2,NA,NA,NA,NA,NA,NA,19,18.583333333333332
1980,6,Montana,NA,NA,504.34,61,white,NA,235,218,2,NA,NA,NA,NA,NA,NA,19.583333333333332,18.166666666666668
1980,6,Illinois,NA,NA,1974.57,64,white,NA,233,212,12,NA,NA,NA,NA,NA,NA,19.416666666666668,17.666666666666668
1980,6,Maryland,NA,NA,1392.45,26,white,NA,209,300,2,NA,NA,NA,NA,NA,NA,17.416666666666668,25
1980,6,Arkansas,NA,NA,650.45,46,black,NA,191,9999,1,NA,NA,NA,NA,NA,NA,15.916666666666666,833.25
1980,6,Maryland,NA,NA,1648.58,40,white,NA,236,221,2,NA,NA,NA,NA,NA,NA,19.666666666666668,18.416666666666668
1980,6,Tennessee,NA,NA,1637.43,27,black,NA,236,9999,1,NA,NA,NA,NA,NA,NA,19.666666666666668,833.25
1980,6,Florida,NA,NA,1483.24,33,black,NA,211,255,10,NA,NA,NA,NA,NA,NA,17.583333333333332,21.25
1980,6,Maryland,NA,NA,1613.33,20,white,NA,223,219,5,NA,NA,NA,NA,NA,NA,18.583333333333332,18.25
1980,6,Georgia,NA,NA,1713.23,24,white,NA,227,215,12,NA,NA,NA,NA,NA,NA,18.916666666666668,17.916666666666668
1980,6,Wyoming,NA,NA,169.55,33,white,NA,234,217,2,NA,NA,NA,NA,NA,NA,19.5,18.083333333333332
1980,6,Mississippi,NA,NA,677.28,19,black,NA,212,212,2,NA,NA,NA,NA,NA,NA,17.666666666666668,17.666666666666668
1980,6,California,NA,NA,1425.38,21,other,NA,229,223,5,NA,NA,NA,NA,NA,NA,19.083333333333332,18.583333333333332
1980,6,Wisconsin,NA,NA,1942.95,27,white,NA,226,221,2,NA,NA,NA,NA,NA,NA,18.833333333333332,18.416666666666668
1980,6,California,NA,NA,1111.43,57,other,NA,231,208,7,NA,NA,NA,NA,NA,NA,19.25,17.333333333333332
1980,6,Georgia,NA,NA,1424.13,40,black,NA,192,205,2,NA,NA,NA,NA,NA,NA,16,17.083333333333332
1980,6,Rhode Island,NA,NA,524.3,24,white,NA,238,212,4,NA,NA,NA,NA,NA,NA,19.833333333333332,17.666666666666668
1980,6,Alaska,NA,NA,115.84,28,white,NA,222,9999,1,NA,NA,NA,NA,NA,NA,18.5,833.25
1980,6,California,NA,NA,1703.07,32,white,NA,234,306,5,NA,NA,NA,NA,NA,NA,19.5,25.5
1980,6,Florida,NA,NA,2044.12,27,black,NA,220,9999,1,NA,NA,NA,NA,NA,NA,18.333333333333332,833.25
1980,6,Nevada,NA,NA,249.81,43,white,NA,233,214,2,NA,NA,NA,NA,NA,NA,19.416666666666668,17.833333333333332
1980,6,Georgia,NA,NA,1762.74,45,white,NA,226,213,2,NA,NA,NA,NA,NA,NA,18.833333333333332,17.75
1980,6,California,NA,NA,1471.34,41,white,NA,212,9999,1,NA,NA,NA,NA,NA,NA,17.666666666666668,833.25
1980,6,Maine,NA,NA,469.44,24,white,NA,190,243,2,NA,NA,NA,NA,NA,NA,15.833333333333334,20.25
1980,6,Louisiana,NA,NA,1421.18,23,white,NA,234,216,2,NA,NA,NA,NA,NA,NA,19.5,18
1980,6,District of Columbia,NA,NA,421.69,35,black,NA,238,9999,1,NA,NA,NA,NA,NA,NA,19.833333333333332,833.25
1980,6,New York,NA,NA,2489.86,54,black,NA,218,191,2,NA,NA,NA,NA,NA,NA,18.166666666666668,15.916666666666666
1980,6,Mississippi,NA,NA,1231.65,21,black,NA,209,255,2,NA,NA,NA,NA,NA,NA,17.416666666666668,21.25
1980,6,Texas,NA,NA,1822.1,19,white,NA,204,201,2,NA,NA,NA,NA,NA,NA,17,16.75
1980,6,Arkansas,NA,NA,704.04,24,black,NA,226,9999,1,NA,NA,NA,NA,NA,NA,18.833333333333332,833.25
1980,6,South Carolina,NA,NA,1222.32,32,white,NA,235,248,2,NA,NA,NA,NA,NA,NA,19.583333333333332,20.666666666666668
1980,6,Tennessee,NA,NA,1958.12,27,black,NA,232,219,2,NA,NA,NA,NA,NA,NA,19.333333333333332,18.25
1980,6,Illinois,NA,NA,1820.65,72,white,NA,201,237,4,NA,NA,NA,NA,NA,NA,16.75,19.75
1980,6,New Mexico,NA,NA,236.82,71,white,NA,230,220,2,NA,NA,NA,NA,NA,NA,19.166666666666668,18.333333333333332
1980,6,New York,NA,NA,1674.62,33,white,NA,232,9999,1,NA,NA,NA,NA,NA,NA,19.333333333333332,833.25
1980,6,New York,NA,NA,1684.75,44,white,NA,234,224,2,NA,NA,NA,NA,NA,NA,19.5,18.666666666666668
1980,6,Missouri,NA,NA,1894.35,23,white,NA,187,178,4,NA,NA,NA,NA,NA,NA,15.583333333333334,14.833333333333334
1980,6,Texas,NA,NA,2030.53,64,white,NA,232,221,8,NA,NA,NA,NA,NA,NA,19.333333333333332,18.416666666666668
1980,6,Maryland,NA,NA,1528.05,45,white,NA,227,204,3,NA,NA,NA,NA,NA,NA,18.916666666666668,17
1980,6,Wyoming,NA,NA,388.41,38,white,NA,213,204,2,NA,NA,NA,NA,NA,NA,17.75,17
1980,6,New Jersey,NA,NA,1999.26,28,black,NA,187,195,5,NA,NA,NA,NA,NA,NA,15.583333333333334,16.25
1980,6,West Virginia,NA,NA,866.21,33,white,NA,200,192,2,NA,NA,NA,NA,NA,NA,16.666666666666668,16
1980,6,Illinois,NA,NA,1994.39,27,black,NA,229,221,2,NA,NA,NA,NA,NA,NA,19.083333333333332,18.416666666666668
1980,6,Georgia,NA,NA,1691.48,41,white,NA,214,201,10,NA,NA,NA,NA,NA,NA,17.833333333333332,16.75
1980,6,Iowa,NA,NA,416.72,52,white,NA,236,235,2,NA,NA,NA,NA,NA,NA,19.666666666666668,19.583333333333332
1980,6,New York,NA,NA,1564.25,35,white,NA,238,218,2,NA,NA,NA,NA,NA,NA,19.833333333333332,18.166666666666668
1980,6,Georgia,NA,NA,1291.2,35,white,NA,218,191,28,NA,NA,NA,NA,NA,NA,18.166666666666668,15.916666666666666
1980,6,Rhode Island,NA,NA,481.77,72,white,NA,219,204,3,NA,NA,NA,NA,NA,NA,18.25,17
1980,6,Illinois,NA,NA,1916.34,50,white,NA,236,221,2,NA,NA,NA,NA,NA,NA,19.666666666666668,18.416666666666668
1980,6,Nevada,NA,NA,224.48,27,black,NA,223,212,10,NA,NA,NA,NA,NA,NA,18.583333333333332,17.666666666666668
1980,6,Tennessee,NA,NA,1640.79,27,white,NA,192,9999,1,NA,NA,NA,NA,NA,NA,16,833.25
1980,6,California,NA,NA,1389.85,29,black,NA,236,274,5,NA,NA,NA,NA,NA,NA,19.666666666666668,22.833333333333332
1980,6,New Mexico,NA,NA,426.53,54,white,NA,233,206,2,NA,NA,NA,NA,NA,NA,19.416666666666668,17.166666666666668
1980,6,Utah,NA,NA,407.43,26,white,NA,213,200,10,NA,NA,NA,NA,NA,NA,17.75,16.666666666666668
1980,6,New York,NA,NA,1624.02,23,white,NA,223,206,4,NA,NA,NA,NA,NA,NA,18.583333333333332,17.166666666666668
1980,6,Kansas,NA,NA,1125.25,26,white,NA,225,221,26,NA,NA,NA,NA,NA,NA,18.75,18.416666666666668
1980,6,Hawaii,NA,NA,464.5,41,white,NA,221,214,2,NA,NA,NA,NA,NA,NA,18.416666666666668,17.833333333333332
1980,6,Arkansas,NA,NA,908.27,37,white,NA,200,188,2,NA,NA,NA,NA,NA,NA,16.666666666666668,15.666666666666666
1980,6,Pennsylvania,NA,NA,1058.83,54,white,NA,223,204,2,NA,NA,NA,NA,NA,NA,18.583333333333332,17
1980,6,Kentucky,NA,NA,1515.47,39,black,NA,197,188,2,NA,NA,NA,NA,NA,NA,16.416666666666668,15.666666666666666
1980,6,Michigan,NA,NA,1994.3,38,white,NA,227,207,28,NA,NA,NA,NA,NA,NA,18.916666666666668,17.25
1980,6,Wyoming,NA,NA,88.43,30,white,NA,217,213,10,NA,NA,NA,NA,NA,NA,18.083333333333332,17.75
1980,6,Hawaii,NA,NA,396.21,59,other,NA,219,241,26,NA,NA,NA,NA,NA,NA,18.25,20.083333333333332
1980,6,Washington,NA,NA,1441.29,31,white,NA,209,203,10,NA,NA,NA,NA,NA,NA,17.416666666666668,16.916666666666668
1980,6,Alabama,NA,NA,1302.65,56,white,NA,221,172,10,NA,NA,NA,NA,NA,NA,18.416666666666668,14.333333333333334
1980,6,Minnesota,NA,NA,420.93,28,white,NA,234,218,2,NA,NA,NA,NA,NA,NA,19.5,18.166666666666668
1980,6,Arizona,NA,NA,1095.41,28,white,NA,220,210,4,NA,NA,NA,NA,NA,NA,18.333333333333332,17.5
1980,6,Utah,NA,NA,341.31,27,white,NA,227,214,2,NA,NA,NA,NA,NA,NA,18.916666666666668,17.833333333333332
1980,6,Texas,NA,NA,1735.08,58,white,NA,203,196,2,NA,NA,NA,NA,NA,NA,16.916666666666668,16.333333333333332
1980,6,Missouri,NA,NA,1991.46,47,white,NA,220,211,2,NA,NA,NA,NA,NA,NA,18.333333333333332,17.583333333333332
1980,6,South Dakota,NA,NA,225.71,39,white,NA,237,225,2,NA,NA,NA,NA,NA,NA,19.75,18.75
1980,6,Colorado,NA,NA,980.44,41,white,NA,239,230,2,NA,NA,NA,NA,NA,NA,19.916666666666668,19.166666666666668
1980,6,Utah,NA,NA,429.55,31,white,NA,198,197,2,NA,NA,NA,NA,NA,NA,16.5,16.416666666666668
1980,6,Nevada,NA,NA,332.25,23,other,NA,211,199,10,NA,NA,NA,NA,NA,NA,17.583333333333332,16.583333333333332
1980,6,Tennessee,NA,NA,1672.84,19,white,NA,222,188,2,NA,NA,NA,NA,NA,NA,18.5,15.666666666666666
1980,6,California,NA,NA,1771.25,32,white,NA,236,226,2,NA,NA,NA,NA,NA,NA,19.666666666666668,18.833333333333332
1980,6,Nebraska,NA,NA,772.99,52,white,NA,231,211,2,NA,NA,NA,NA,NA,NA,19.25,17.583333333333332
1980,6,New Jersey,NA,NA,1768.03,57,white,NA,236,218,3,NA,NA,NA,NA,NA,NA,19.666666666666668,18.166666666666668
1980,6,Louisiana,NA,NA,1806.01,49,white,NA,186,175,10,NA,NA,NA,NA,NA,NA,15.5,14.583333333333334
1980,6,California,NA,NA,1711.67,30,white,NA,217,235,2,NA,NA,NA,NA,NA,NA,18.083333333333332,19.583333333333332
1980,6,Alaska,NA,NA,233.44,31,white,NA,232,336,2,NA,NA,NA,NA,NA,NA,19.333333333333332,28
1980,6,Georgia,NA,NA,1094.31,23,white,NA,225,213,2,NA,NA,NA,NA,NA,NA,18.75,17.75
1980,6,Maryland,NA,NA,1755.05,60,white,NA,213,204,3,NA,NA,NA,NA,NA,NA,17.75,17
1980,6,Texas,NA,NA,1860.45,28,black,NA,208,205,4,NA,NA,NA,NA,NA,NA,17.333333333333332,17.083333333333332
1980,6,Texas,NA,NA,1577.29,56,white,NA,239,212,6,NA,NA,NA,NA,NA,NA,19.916666666666668,17.666666666666668
1980,6,Texas,NA,NA,1681.73,27,white,NA,224,216,2,NA,NA,NA,NA,NA,NA,18.666666666666668,18
1980,6,California,NA,NA,1564.88,22,black,NA,206,199,5,NA,NA,NA,NA,NA,NA,17.166666666666668,16.583333333333332
1980,6,California,NA,NA,1774.8,53,white,NA,224,216,10,NA,NA,NA,NA,NA,NA,18.666666666666668,18
1980,6,Washington,NA,NA,1555.05,29,white,NA,227,221,2,NA,NA,NA,NA,NA,NA,18.916666666666668,18.416666666666668
1980,6,Nevada,NA,NA,253.19,20,black,NA,222,232,2,NA,NA,NA,NA,NA,NA,18.5,19.333333333333332
1980,6,New Jersey,NA,NA,1946.73,39,white,NA,238,220,2,NA,NA,NA,NA,NA,NA,19.833333333333332,18.333333333333332
1980,6,West Virginia,NA,NA,768.22,36,white,NA,210,196,2,NA,NA,NA,NA,NA,NA,17.5,16.333333333333332
1980,6,New Hampshire,NA,NA,368.17,49,white,NA,236,220,2,NA,NA,NA,NA,NA,NA,19.666666666666668,18.333333333333332
1980,6,Wyoming,NA,NA,108.05,32,white,NA,216,179,4,NA,NA,NA,NA,NA,NA,18,14.916666666666666
1980,6,Mississippi,NA,NA,861.08,47,white,NA,214,198,2,NA,NA,NA,NA,NA,NA,17.833333333333332,16.5
1980,6,Texas,NA,NA,1979.17,27,white,NA,239,232,2,NA,NA,NA,NA,NA,NA,19.916666666666668,19.333333333333332
1980,6,Nevada,NA,NA,225.4,29,white,NA,225,220,10,NA,NA,NA,NA,NA,NA,18.75,18.333333333333332
1980,6,Texas,NA,NA,3212.38,57,white,NA,207,309,2,NA,NA,NA,NA,NA,NA,17.25,25.75
1980,6,North Dakota,NA,NA,159.65,60,white,NA,238,332,10,NA,NA,NA,NA,NA,NA,19.833333333333332,27.666666666666668
1980,6,Oregon,NA,NA,588.83,36,white,NA,233,223,2,NA,NA,NA,NA,NA,NA,19.416666666666668,18.583333333333332
1980,6,West Virginia,NA,NA,726.85,21,white,NA,184,189,2,NA,NA,NA,NA,NA,NA,15.333333333333334,15.75
1980,6,Idaho,NA,NA,267.11,40,white,NA,237,195,26,NA,NA,NA,NA,NA,NA,19.75,16.25
1980,6,Iowa,NA,NA,1122.74,41,white,NA,219,205,2,NA,NA,NA,NA,NA,NA,18.25,17.083333333333332
1980,6,Oklahoma,NA,NA,1336.95,26,white,NA,225,208,10,NA,NA,NA,NA,NA,NA,18.75,17.333333333333332
1980,6,Arkansas,NA,NA,692.02,73,white,NA,208,324,11,NA,NA,NA,NA,NA,NA,17.333333333333332,27
1980,6,Kansas,NA,NA,1152.86,23,white,NA,239,214,2,NA,NA,NA,NA,NA,NA,19.916666666666668,17.833333333333332
1980,6,North Dakota,NA,NA,328.04,32,white,NA,223,211,2,NA,NA,NA,NA,NA,NA,18.583333333333332,17.583333333333332
1980,6,South Dakota,NA,NA,210.37,25,white,NA,216,219,2,NA,NA,NA,NA,NA,NA,18,18.25
1980,6,South Dakota,NA,NA,255.79,32,white,NA,201,194,2,NA,NA,NA,NA,NA,NA,16.75,16.166666666666668
